age_category,Category 01,Category 02,Category 03,Category 04,Category 05,Category 06,Category 07,Category 08,Category 09,Category 10,Category 11,Category 12,Category 13,Category 14,Category 15,Category 16,Category 17,Category 18,Category 19,Category 20,ads_activity,surf_depth,primary_device,cloud_usage
0,16.0,0.0,34.0,23.0,18.0,29.0,26.0,41.0,13.0,22.0,31.0,43.0,12.0,19.0,15.0,33.0,28.0,43.0,50.0,50.0,умеренно,средне,ноутбук,True
4,15.0,11.0,5.0,7.0,15.0,7.0,9.0,18.0,11.0,11.0,13.0,0.0,12.0,7.0,3.0,8.0,12.0,16.0,1.0,4.0,умеренно,средне,планшет,False
0,19.0,13.0,10.0,22.0,10.0,9.0,12.0,13.0,13.0,12.0,14.0,19.0,0.0,28.0,12.0,9.0,13.0,21.0,21.0,17.0,очень редко,поверхностно,планшет,False
4,0.0,26.0,35.0,30.0,20.0,19.0,29.0,9.0,29.0,32.0,19.0,42.0,83.0,0.0,22.0,20.0,17.0,6.0,25.0,27.0,умеренно,средне,ПК,True
4,25.0,13.0,41.0,2.0,23.0,16.0,14.0,23.0,14.0,0.0,3.0,13.0,7.0,5.0,17.0,27.0,25.0,13.0,3.0,27.0,умеренно,поверхностно,ПК,True
3,10.0,12.0,0.0,16.0,7.0,19.0,13.0,14.0,14.0,11.0,3.0,6.0,16.0,16.0,14.0,8.0,9.0,12.0,8.0,11.0,умеренно,средне,ноутбук,False
2,10.0,2.0,25.0,1.0,0.0,0.0,12.0,4.0,10.0,5.0,3.0,2.0,7.0,1.0,5.0,5.0,0.0,0.0,3.0,5.0,часто,глубоко,смартфон,True
3,10.0,3.0,2.0,9.0,12.0,8.0,0.0,5.0,14.0,6.0,11.0,7.0,1.0,4.0,4.0,11.0,13.0,12.0,1.0,1.0,часто,средне,планшет,False
2,12.0,5.0,17.0,1.0,0.0,5.0,23.0,15.0,7.0,12.0,1.0,5.0,1.0,7.0,11.0,7.0,6.0,0.0,15.0,14.0,умеренно,поверхностно,смартфон,True
2,1.0,14.0,9.0,2.0,20.0,11.0,9.0,8.0,7.0,0.0,10.0,12.0,12.0,6.0,1.0,15.0,6.0,5.0,2.0,11.0,умеренно,поверхностно,ноутбук,True
