user_id,age_category,Category 01,Category 02,Category 03,Category 04,Category 05,Category 06,Category 07,Category 08,Category 09,Category 10,Category 11,Category 12,Category 13,Category 14,Category 15,Category 16,Category 17,Category 18,Category 19,Category 20,ads_activity,surf_depth,primary_device,cloud_usage
0010-5cf8f6b38a7b6c70a021-009dbcda,0,16.0,0.0,34.0,23.0,18.0,29.0,26.0,41.0,13.0,22.0,31.0,43.0,12.0,19.0,15.0,33.0,28.0,43.0,50.0,50.0,умеренно,средне,ноутбук,True
0013-4ae5f7d127b91a3fb0f8-ba59f141,4,15.0,11.0,5.0,7.0,15.0,7.0,9.0,18.0,11.0,11.0,13.0,0.0,12.0,7.0,3.0,8.0,12.0,16.0,1.0,4.0,умеренно,средне,планшет,False
001a-eee53e44f848608779b0-78704a67,0,19.0,13.0,10.0,22.0,10.0,9.0,12.0,13.0,13.0,12.0,14.0,19.0,0.0,28.0,12.0,9.0,13.0,21.0,21.0,17.0,очень редко,поверхностно,планшет,False
002c-40a064b12e1217e12207-a56eaf3b,4,0.0,26.0,35.0,30.0,20.0,19.0,29.0,9.0,29.0,32.0,19.0,42.0,83.0,0.0,22.0,20.0,17.0,6.0,25.0,27.0,умеренно,средне,ПК,True
002d-36514fbad6d7bd7b368c-1594dfee,4,25.0,13.0,41.0,2.0,23.0,16.0,14.0,23.0,14.0,0.0,3.0,13.0,7.0,5.0,17.0,27.0,25.0,13.0,3.0,27.0,умеренно,поверхностно,ПК,True
0030-bbc1be193874ae505ebd-06f29b7d,3,10.0,12.0,0.0,16.0,7.0,19.0,13.0,14.0,14.0,11.0,3.0,6.0,16.0,16.0,14.0,8.0,9.0,12.0,8.0,11.0,умеренно,средне,ноутбук,False
0041-3d150c0057e401ba28fa-9b31723e,2,10.0,2.0,25.0,1.0,0.0,0.0,12.0,4.0,10.0,5.0,3.0,2.0,7.0,1.0,5.0,5.0,0.0,0.0,3.0,5.0,часто,глубоко,смартфон,True
004e-360af47b53f93f31509e-71688016,3,10.0,3.0,2.0,9.0,12.0,8.0,0.0,5.0,14.0,6.0,11.0,7.0,1.0,4.0,4.0,11.0,13.0,12.0,1.0,1.0,часто,средне,планшет,False
005f-e13485327a8d563dfb3b-ae1fdd6b,2,12.0,5.0,17.0,1.0,0.0,5.0,23.0,15.0,7.0,12.0,1.0,5.0,1.0,7.0,11.0,7.0,6.0,0.0,15.0,14.0,умеренно,поверхностно,смартфон,True
0079-6d5cd70ca99039dcfdaf-b5610c76,2,1.0,14.0,9.0,2.0,20.0,11.0,9.0,8.0,7.0,0.0,10.0,12.0,12.0,6.0,1.0,15.0,6.0,5.0,2.0,11.0,умеренно,поверхностно,ноутбук,True
0090-f56575e154457ff4639e-40b49a00,4,46.0,19.0,29.0,19.0,38.0,28.0,13.0,49.0,26.0,27.0,22.0,21.0,0.0,14.0,30.0,29.0,43.0,42.0,15.0,17.0,часто,поверхностно,смартфон,False
0095-e06e63b284c1cbbc9c9a-7a6bf5b7,1,14.0,9.0,17.0,15.0,36.0,20.0,0.0,17.0,18.0,4.0,9.0,14.0,33.0,3.0,16.0,3.0,17.0,24.0,17.0,9.0,умеренно,глубоко,смартфон,False
00b6-4c4f9094f6254a146cf2-410565d2,3,14.0,17.0,12.0,10.0,6.0,15.0,3.0,7.0,3.0,7.0,1.0,14.0,3.0,0.0,5.0,5.0,0.0,20.0,4.0,11.0,редко,глубоко,смартфон,False
00bc-3fa67e618ffb48fcb6a6-8af3075d,1,7.0,6.0,2.0,3.0,6.0,11.0,18.0,4.0,6.0,7.0,11.0,20.0,3.0,5.0,6.0,1.0,9.0,0.0,10.0,6.0,умеренно,поверхностно,ПК,True
00d8-ddc698fad7397ff515c3-6e1db7e3,3,9.0,8.0,0.0,8.0,5.0,9.0,12.0,9.0,7.0,6.0,2.0,4.0,12.0,12.0,7.0,8.0,7.0,8.0,1.0,1.0,умеренно,глубоко,ноутбук,False
00e9-8930d7fec88d43c25215-7247e2ea,0,5.0,16.0,14.0,16.0,8.0,16.0,3.0,3.0,11.0,3.0,4.0,13.0,32.0,0.0,0.0,7.0,4.0,19.0,7.0,18.0,умеренно,поверхностно,смартфон,True
00f0-1be8a95b32d2891a5b8c-0e618574,2,17.0,11.0,29.0,12.0,28.0,10.0,31.0,18.0,0.0,19.0,28.0,39.0,2.0,15.0,12.0,21.0,8.0,7.0,9.0,13.0,редко,поверхностно,смартфон,True
0101-a55d1cccd3e7dbdcd122-e7451633,2,12.0,5.0,12.0,8.0,11.0,8.0,17.0,12.0,4.0,11.0,2.0,2.0,12.0,0.0,13.0,10.0,7.0,3.0,12.0,8.0,умеренно,глубоко,ПК,True
0103-7899a2cb25e657e9e4d4-ff31a939,4,11.0,1.0,5.0,0.0,7.0,5.0,4.0,15.0,9.0,3.0,6.0,1.0,3.0,8.0,3.0,6.0,20.0,9.0,8.0,0.0,очень редко,поверхностно,смартфон,True
0107-756db7164a6e3c9d7fc3-93fc2505,0,9.0,0.0,8.0,5.0,2.0,3.0,7.0,6.0,7.0,5.0,7.0,4.0,0.0,3.0,4.0,8.0,1.0,7.0,8.0,6.0,умеренно,поверхностно,смартфон,True
010b-ff2cede1e3bff4b74f96-b51b9ef7,4,0.0,9.0,5.0,6.0,7.0,2.0,8.0,3.0,4.0,8.0,1.0,4.0,23.0,3.0,5.0,1.0,6.0,4.0,6.0,11.0,очень редко,средне,смартфон,False
0110-55fbfd4e20dd92a823b8-b82737fa,4,1.0,6.0,7.0,14.0,4.0,10.0,5.0,1.0,5.0,3.0,0.0,15.0,20.0,0.0,7.0,0.0,7.0,6.0,11.0,1.0,редко,средне,ноутбук,True
